text,cluster
текстовый текст 415,5
текстовый текст 416,1
текстовый текст 417,3
текстовый текст 418,0
текстовый текст 419,7
текстовый текст 420,8
текстовый текст 421,4
текстовый текст 422,4
текстовый текст 423,1
текстовый текст 424,3
текстовый текст 425,2
текстовый текст 426,2
текстовый текст 427,8
текстовый текст 428,7
текстовый текст 429,5
текстовый текст 430,8
текстовый текст 431,7
текстовый текст 432,7
текстовый текст 433,5
текстовый текст 434,4
текстовый текст 435,3
текстовый текст 436,1
текстовый текст 437,4
текстовый текст 438,4
текстовый текст 439,9
текстовый текст 440,4
текстовый текст 441,5
текстовый текст 442,9
текстовый текст 443,7
текстовый текст 444,5
текстовый текст 445,1
текстовый текст 446,6
текстовый текст 447,9
текстовый текст 448,2
текстовый текст 449,5
текстовый текст 450,3
текстовый текст 451,7
текстовый текст 452,7
текстовый текст 453,7
текстовый текст 454,5
текстовый текст 455,4
текстовый текст 456,0
текстовый текст 457,6
текстовый текст 458,5
текстовый текст 459,8
текстовый текст 460,4
текстовый текст 461,8
текстовый текст 462,0
текстовый текст 463,2
текстовый текст 464,8
текстовый текст 465,5
текстовый текст 466,3
текстовый текст 467,9
текстовый текст 468,9
текстовый текст 469,9
текстовый текст 470,9
текстовый текст 471,3
текстовый текст 472,9
текстовый текст 473,3
текстовый текст 474,9
текстовый текст 475,5
текстовый текст 476,3
текстовый текст 477,9
текстовый текст 478,4
текстовый текст 479,3
текстовый текст 480,5
текстовый текст 481,2
текстовый текст 482,8
текстовый текст 483,3
текстовый текст 484,7
текстовый текст 485,7
текстовый текст 486,3
текстовый текст 487,8
текстовый текст 488,1
текстовый текст 489,9
текстовый текст 490,1
текстовый текст 491,7
текстовый текст 492,4
текстовый текст 493,8
текстовый текст 494,6
текстовый текст 495,7
текстовый текст 496,2
текстовый текст 497,3
текстовый текст 498,2
текстовый текст 499,9
текстовый текст 500,1
текстовый текст 501,7
текстовый текст 502,6
текстовый текст 503,1
текстовый текст 504,1
текстовый текст 505,9
текстовый текст 506,6
текстовый текст 507,6
текстовый текст 508,1
текстовый текст 509,5
текстовый текст 510,5
текстовый текст 511,4
текстовый текст 512,9
текстовый текст 513,2
текстовый текст 514,7
текстовый текст 515,8
текстовый текст 516,2
текстовый текст 517,6
текстовый текст 518,2
текстовый текст 519,6
текстовый текст 520,8
текстовый текст 521,3
текстовый текст 522,3
текстовый текст 523,2
текстовый текст 524,2
текстовый текст 525,2
текстовый текст 526,9
текстовый текст 527,0
текстовый текст 528,4
текстовый текст 529,4
текстовый текст 530,6
текстовый текст 531,1
текстовый текст 532,8
текстовый текст 533,7
текстовый текст 534,5
текстовый текст 535,8
текстовый текст 536,5
текстовый текст 537,4
текстовый текст 538,5
текстовый текст 539,9
текстовый текст 540,7
текстовый текст 541,2
текстовый текст 542,1
текстовый текст 543,8
текстовый текст 544,4
текстовый текст 545,8
текстовый текст 546,2
текстовый текст 547,4
текстовый текст 548,8
текстовый текст 549,9
текстовый текст 550,0
текстовый текст 551,7
текстовый текст 552,2
текстовый текст 553,4
текстовый текст 554,2
текстовый текст 555,4
текстовый текст 556,8
текстовый текст 557,7
текстовый текст 558,9
текстовый текст 559,7
текстовый текст 560,5
текстовый текст 561,2
текстовый текст 562,1
текстовый текст 563,4
текстовый текст 564,8
текстовый текст 565,7
текстовый текст 566,9
текстовый текст 567,9
текстовый текст 568,7
текстовый текст 569,6
текстовый текст 570,3
текстовый текст 571,7
текстовый текст 572,7
текстовый текст 573,6
текстовый текст 574,3
текстовый текст 575,3
текстовый текст 576,8
текстовый текст 577,0
текстовый текст 578,2
текстовый текст 579,0
текстовый текст 580,4
текстовый текст 581,0
текстовый текст 582,7
текстовый текст 583,6
текстовый текст 584,9
текстовый текст 585,0
текстовый текст 586,7
текстовый текст 587,9
текстовый текст 588,1
текстовый текст 589,4
текстовый текст 590,7
текстовый текст 591,5
текстовый текст 592,7
текстовый текст 593,1
текстовый текст 594,5
текстовый текст 595,8
текстовый текст 596,0
текстовый текст 597,9
текстовый текст 598,8
текстовый текст 599,9
текстовый текст 600,4
текстовый текст 601,8
текстовый текст 602,9
текстовый текст 603,6
текстовый текст 604,4
текстовый текст 605,6
текстовый текст 606,4
текстовый текст 607,1
текстовый текст 608,4
текстовый текст 609,6
текстовый текст 610,0
текстовый текст 611,4
текстовый текст 612,7
текстовый текст 613,6
текстовый текст 614,6
текстовый текст 615,1
текстовый текст 616,1
текстовый текст 617,3
текстовый текст 618,5
текстовый текст 619,2
текстовый текст 620,2
текстовый текст 621,2
текстовый текст 622,9
текстовый текст 623,8
текстовый текст 624,5
текстовый текст 625,8
текстовый текст 626,3
текстовый текст 627,6
текстовый текст 628,0
текстовый текст 629,8
текстовый текст 630,8
текстовый текст 631,7
текстовый текст 632,8
текстовый текст 633,9
текстовый текст 634,9
текстовый текст 635,0
текстовый текст 636,5
текстовый текст 637,9
текстовый текст 638,4
текстовый текст 639,4
текстовый текст 640,1
текстовый текст 641,3
текстовый текст 642,9
текстовый текст 643,0
текстовый текст 644,7
текстовый текст 645,0
текстовый текст 646,2
текстовый текст 647,7
текстовый текст 648,3
текстовый текст 649,3
текстовый текст 650,5
текстовый текст 651,4
текстовый текст 652,6
текстовый текст 653,1
текстовый текст 654,1
текстовый текст 655,8
текстовый текст 656,6
текстовый текст 657,1
текстовый текст 658,2
текстовый текст 659,4
текстовый текст 660,1
текстовый текст 661,9
текстовый текст 662,7
текстовый текст 663,9
текстовый текст 664,5
текстовый текст 665,0
текстовый текст 666,4
текстовый текст 667,9
текстовый текст 668,7
текстовый текст 669,4
текстовый текст 670,5
текстовый текст 671,0
текстовый текст 672,4
текстовый текст 673,9
текстовый текст 674,1
текстовый текст 675,6
текстовый текст 676,9
текстовый текст 677,7
текстовый текст 678,5
текстовый текст 679,9
текстовый текст 680,7
текстовый текст 681,5
текстовый текст 682,0
текстовый текст 683,8
текстовый текст 684,8
текстовый текст 685,5
текстовый текст 686,8
текстовый текст 687,5
текстовый текст 688,1
текстовый текст 689,9
текстовый текст 690,4
текстовый текст 691,5
текстовый текст 692,6
текстовый текст 693,9
текстовый текст 694,7
текстовый текст 695,5
текстовый текст 696,9
текстовый текст 697,7
текстовый текст 698,6
текстовый текст 699,3
текстовый текст 700,2
текстовый текст 701,9
текстовый текст 702,0
текстовый текст 703,4
текстовый текст 704,1
текстовый текст 705,9
текстовый текст 706,6
текстовый текст 707,2
текстовый текст 708,5
текстовый текст 709,8
текстовый текст 710,4
текстовый текст 711,0
текстовый текст 712,3
текстовый текст 713,0
текстовый текст 714,7
текстовый текст 715,3
текстовый текст 716,2
текстовый текст 717,8
текстовый текст 718,7
текстовый текст 719,4
текстовый текст 720,3
текстовый текст 721,2
текстовый текст 722,8
текстовый текст 723,8
текстовый текст 724,8
текстовый текст 725,5
текстовый текст 726,2
текстовый текст 727,2
текстовый текст 728,9
текстовый текст 729,7
текстовый текст 730,7
текстовый текст 731,5
текстовый текст 732,4
текстовый текст 733,3
текстовый текст 734,2
текстовый текст 735,1
текстовый текст 736,9
текстовый текст 737,9
текстовый текст 738,4
текстовый текст 739,1
текстовый текст 740,2
текстовый текст 741,0
текстовый текст 742,9
текстовый текст 743,1
текстовый текст 744,7
текстовый текст 745,5
текстовый текст 746,1
текстовый текст 747,0
текстовый текст 748,9
текстовый текст 749,0
текстовый текст 750,6
текстовый текст 751,6
текстовый текст 752,8
текстовый текст 753,5
текстовый текст 754,3
текстовый текст 755,1
текстовый текст 756,5
текстовый текст 757,3
текстовый текст 758,6
текстовый текст 759,2
текстовый текст 760,1
текстовый текст 761,5
текстовый текст 762,0
текстовый текст 763,1
текстовый текст 764,7
текстовый текст 765,8
текстовый текст 766,5
текстовый текст 767,9
текстовый текст 768,2
текстовый текст 769,4
текстовый текст 770,9
текстовый текст 771,2
текстовый текст 772,6
текстовый текст 773,1
текстовый текст 774,5
текстовый текст 775,6
текстовый текст 776,9
текстовый текст 777,0
текстовый текст 778,1
текстовый текст 779,5
текстовый текст 780,5
текстовый текст 781,9
текстовый текст 782,5
текстовый текст 783,4
текстовый текст 784,2
текстовый текст 785,5
текстовый текст 786,1
текстовый текст 787,9
текстовый текст 788,5
текстовый текст 789,3
текстовый текст 790,6
текстовый текст 791,3
текстовый текст 792,4
текстовый текст 793,9
текстовый текст 794,1
текстовый текст 795,0
текстовый текст 796,1
текстовый текст 797,2
текстовый текст 798,8
текстовый текст 799,3
текстовый текст 800,5
текстовый текст 801,5
текстовый текст 802,8
текстовый текст 803,7
текстовый текст 804,6
текстовый текст 805,8
текстовый текст 806,9
текстовый текст 807,9
текстовый текст 808,2
текстовый текст 809,9
текстовый текст 810,0
текстовый текст 811,6
текстовый текст 812,7
текстовый текст 813,5
текстовый текст 814,9
текстовый текст 815,8
текстовый текст 816,3
текстовый текст 817,2
текстовый текст 818,5
текстовый текст 819,8
текстовый текст 820,3
текстовый текст 821,6
текстовый текст 822,7
текстовый текст 823,3
текстовый текст 824,2
текстовый текст 825,1
текстовый текст 826,6
текстовый текст 827,1
текстовый текст 828,2
текстовый текст 829,5
текстовый текст 830,5
текстовый текст 831,0
текстовый текст 832,0
текстовый текст 833,5
текстовый текст 834,9
текстовый текст 835,9
текстовый текст 836,1
текстовый текст 837,1
текстовый текст 838,5
текстовый текст 839,9
текстовый текст 840,0
текстовый текст 841,7
текстовый текст 842,0
текстовый текст 843,6
текстовый текст 844,8
текстовый текст 845,8
текстовый текст 846,3
текстовый текст 847,0
текстовый текст 848,5
текстовый текст 849,6
текстовый текст 850,5
текстовый текст 851,7
текстовый текст 852,5
текстовый текст 853,3
текстовый текст 854,9
текстовый текст 855,0
текстовый текст 856,9
текстовый текст 857,6
текстовый текст 858,5
текстовый текст 859,1
текстовый текст 860,1
текстовый текст 861,4
текстовый текст 862,5
текстовый текст 863,2
текстовый текст 864,9
текстовый текст 865,6
текстовый текст 866,2
текстовый текст 867,7
текстовый текст 868,8
текстовый текст 869,3
текстовый текст 870,7
текстовый текст 871,6
текстовый текст 872,0
текстовый текст 873,0
текстовый текст 874,3
текстовый текст 875,2
текстовый текст 876,5
текстовый текст 877,2
текстовый текст 878,3
текстовый текст 879,1
текстовый текст 880,9
текстовый текст 881,4
текстовый текст 882,8
текстовый текст 883,9
текстовый текст 884,4
текстовый текст 885,9
текстовый текст 886,6
текстовый текст 887,3
текстовый текст 888,0
текстовый текст 889,2
текстовый текст 890,0
текстовый текст 891,5
текстовый текст 892,8
текстовый текст 893,3
текстовый текст 894,5
текстовый текст 895,7
текстовый текст 896,7
текстовый текст 897,9
текстовый текст 898,8
текстовый текст 899,6
текстовый текст 900,8
текстовый текст 901,0
текстовый текст 902,4
текстовый текст 903,2
текстовый текст 904,4
текстовый текст 905,7
текстовый текст 906,1
текстовый текст 907,6
текстовый текст 908,8
текстовый текст 909,2
текстовый текст 910,7
текстовый текст 911,1
текстовый текст 912,2
текстовый текст 913,3
текстовый текст 914,6
текстовый текст 915,2
текстовый текст 916,6
текстовый текст 917,8
текстовый текст 918,7
текстовый текст 919,6
текстовый текст 920,6
текстовый текст 921,8
текстовый текст 922,7
текстовый текст 923,6
текстовый текст 924,7
текстовый текст 925,1
текстовый текст 926,2
текстовый текст 927,9
текстовый текст 928,1
текстовый текст 929,0
текстовый текст 930,2
текстовый текст 931,2
текстовый текст 932,5
текстовый текст 933,1
текстовый текст 934,6
текстовый текст 935,4
текстовый текст 936,4
текстовый текст 937,0
текстовый текст 938,1
текстовый текст 939,8
текстовый текст 940,3
текстовый текст 941,4
текстовый текст 942,0
текстовый текст 943,1
текстовый текст 944,3
текстовый текст 945,1
текстовый текст 946,1
текстовый текст 947,6
текстовый текст 948,9
текстовый текст 949,5
текстовый текст 950,4
текстовый текст 951,8
текстовый текст 952,2
текстовый текст 953,4
текстовый текст 954,6
текстовый текст 955,0
текстовый текст 956,6
текстовый текст 957,4
текстовый текст 958,3
текстовый текст 959,1
текстовый текст 960,0
текстовый текст 961,2
текстовый текст 962,1
текстовый текст 963,8
текстовый текст 964,0
текстовый текст 965,9
текстовый текст 966,7
текстовый текст 967,3
текстовый текст 968,5
текстовый текст 969,7
текстовый текст 970,3
текстовый текст 971,8
текстовый текст 972,4
текстовый текст 973,0
текстовый текст 974,0
текстовый текст 975,7
текстовый текст 976,7
текстовый текст 977,0
текстовый текст 978,0
текстовый текст 979,3
текстовый текст 980,9
текстовый текст 981,8
текстовый текст 982,8
текстовый текст 983,2
текстовый текст 984,9
текстовый текст 985,2
текстовый текст 986,1
текстовый текст 987,3
текстовый текст 988,1
текстовый текст 989,7
текстовый текст 990,3
текстовый текст 991,6
текстовый текст 992,5
текстовый текст 993,4
текстовый текст 994,4
текстовый текст 995,6
текстовый текст 996,7
текстовый текст 997,7
текстовый текст 998,9
текстовый текст 999,9
текстовый текст 1000,3
текстовый текст 1001,8
текстовый текст 1002,0
текстовый текст 1003,4
текстовый текст 1004,6
текстовый текст 1005,4
текстовый текст 1006,4
текстовый текст 1007,9
текстовый текст 1008,0
текстовый текст 1009,5
текстовый текст 1010,3
текстовый текст 1011,4
текстовый текст 1012,9
текстовый текст 1013,5
текстовый текст 1014,2
текстовый текст 1015,4
текстовый текст 1016,1
текстовый текст 1017,5
текстовый текст 1018,6
текстовый текст 1019,9
текстовый текст 1020,0
текстовый текст 1021,5
текстовый текст 1022,2
текстовый текст 1023,3
текстовый текст 1024,0
текстовый текст 1025,1
текстовый текст 1026,3
текстовый текст 1027,1
текстовый текст 1028,8
текстовый текст 1029,9
текстовый текст 1030,8
текстовый текст 1031,9
текстовый текст 1032,0
текстовый текст 1033,7
текстовый текст 1034,3
текстовый текст 1035,4
текстовый текст 1036,0
текстовый текст 1037,3
текстовый текст 1038,9
текстовый текст 1039,5
текстовый текст 1040,8
текстовый текст 1041,3
текстовый текст 1042,2
текстовый текст 1043,1
текстовый текст 1044,6
текстовый текст 1045,1
текстовый текст 1046,0
текстовый текст 1047,5
текстовый текст 1048,7
текстовый текст 1049,3
текстовый текст 1050,6
текстовый текст 1051,8
текстовый текст 1052,0
текстовый текст 1053,1
текстовый текст 1054,0
текстовый текст 1055,6
текстовый текст 1056,3
текстовый текст 1057,6
текстовый текст 1058,8
текстовый текст 1059,2
текстовый текст 1060,6
текстовый текст 1061,1
текстовый текст 1062,6
текстовый текст 1063,4
текстовый текст 1064,6
текстовый текст 1065,6
текстовый текст 1066,2
текстовый текст 1067,5
текстовый текст 1068,0
текстовый текст 1069,3
текстовый текст 1070,5
текстовый текст 1071,4
текстовый текст 1072,6
текстовый текст 1073,2
текстовый текст 1074,3
текстовый текст 1075,8
текстовый текст 1076,4
текстовый текст 1077,6
текстовый текст 1078,3
текстовый текст 1079,8
текстовый текст 1080,0
текстовый текст 1081,6
текстовый текст 1082,6
текстовый текст 1083,6
текстовый текст 1084,4
текстовый текст 1085,5
текстовый текст 1086,4
текстовый текст 1087,8
текстовый текст 1088,6
текстовый текст 1089,0
текстовый текст 1090,0
текстовый текст 1091,5
текстовый текст 1092,4
текстовый текст 1093,2
текстовый текст 1094,2
текстовый текст 1095,0
текстовый текст 1096,6
текстовый текст 1097,5
текстовый текст 1098,2
текстовый текст 1099,6
текстовый текст 1100,3
текстовый текст 1101,3
текстовый текст 1102,3
текстовый текст 1103,8
текстовый текст 1104,1
текстовый текст 1105,6
текстовый текст 1106,4
текстовый текст 1107,0
текстовый текст 1108,6
текстовый текст 1109,0
текстовый текст 1110,8
текстовый текст 1111,0
текстовый текст 1112,9
текстовый текст 1113,2
текстовый текст 1114,2
текстовый текст 1115,3
текстовый текст 1116,5
текстовый текст 1117,7
текстовый текст 1118,4
текстовый текст 1119,0
текстовый текст 1120,4
текстовый текст 1121,4
текстовый текст 1122,5
текстовый текст 1123,1
текстовый текст 1124,6
текстовый текст 1125,2
текстовый текст 1126,8
текстовый текст 1127,1
текстовый текст 1128,1
текстовый текст 1129,3
текстовый текст 1130,5
текстовый текст 1131,5
текстовый текст 1132,0
текстовый текст 1133,4
текстовый текст 1134,4
текстовый текст 1135,7
текстовый текст 1136,7
текстовый текст 1137,7
текстовый текст 1138,0
текстовый текст 1139,4
текстовый текст 1140,4
текстовый текст 1141,3
текстовый текст 1142,2
текстовый текст 1143,6
текстовый текст 1144,1
текстовый текст 1145,8
текстовый текст 1146,4
текстовый текст 1147,2
текстовый текст 1148,5
текстовый текст 1149,8
текстовый текст 1150,3
текстовый текст 1151,6
текстовый текст 1152,8
текстовый текст 1153,7
текстовый текст 1154,2
текстовый текст 1155,3
текстовый текст 1156,2
текстовый текст 1157,3
текстовый текст 1158,0
текстовый текст 1159,2
текстовый текст 1160,0
текстовый текст 1161,6
текстовый текст 1162,4
текстовый текст 1163,4
текстовый текст 1164,2
текстовый текст 1165,2
текстовый текст 1166,1
текстовый текст 1167,2
текстовый текст 1168,2
текстовый текст 1169,6
текстовый текст 1170,6
текстовый текст 1171,1
текстовый текст 1172,7
текстовый текст 1173,7
текстовый текст 1174,4
текстовый текст 1175,5
текстовый текст 1176,9
текстовый текст 1177,3
текстовый текст 1178,3
текстовый текст 1179,9
текстовый текст 1180,5
текстовый текст 1181,8
текстовый текст 1182,1
текстовый текст 1183,3
текстовый текст 1184,5
текстовый текст 1185,5
текстовый текст 1186,4
текстовый текст 1187,4
текстовый текст 1188,2
текстовый текст 1189,8
текстовый текст 1190,5
текстовый текст 1191,7
текстовый текст 1192,5
текстовый текст 1193,8
текстовый текст 1194,6
текстовый текст 1195,5
текстовый текст 1196,1
текстовый текст 1197,2
текстовый текст 1198,2
текстовый текст 1199,1
текстовый текст 1200,8
текстовый текст 1201,0
текстовый текст 1202,8
текстовый текст 1203,5
текстовый текст 1204,7
текстовый текст 1205,5
текстовый текст 1206,9
текстовый текст 1207,7
текстовый текст 1208,8
текстовый текст 1209,9
текстовый текст 1210,4
текстовый текст 1211,4
текстовый текст 1212,1
текстовый текст 1213,2
